area,area_type,occupation,tot_emp,emp_prse,h_mean,a_mean,h_pct10,h_median,h_pct90,a_pct10,a_median,a_pct90
A1,2,All Occupations,1883310,0.4,20.15,41920,8.36,15.17,36.88,17380,31550,76720
A1,2,Management Occupations,69100,1,52.79,109800,25.16,45.9,90,52320,95470,90
A1,2,Chief Executives,1100,4.1,101.21,210530,52.6,#,90,109410,90,90
A1,2,General and Operations Managers,27240,1.4,58.85,122410,27.79,49.2,90,57800,102330,90
A1,2,Legislators,1430,8.7,*,22690,*,*,*,16110,18380,32120
A1,2,Advertising and Promotions Managers,50,16,53.65,111590,24.8,41.29,90,51580,85890,90
A1,2,Marketing Managers,550,6.4,66.79,138920,32.68,57.58,90,67980,119770,90
A1,2,Sales Managers,2290,4.3,59.61,123980,30.02,53.11,90,62430,110470,90
A1,2,Public Relations and Fundraising Managers,470,5.2,45.3,94220,26.84,40.22,70.46,55820,83650,146550
A1,2,Administrative Services Managers,690,5.9,48.45,100770,24.72,42.35,80.72,51420,88080,167900
A1,2,Computer and Information Systems Managers,3320,6.6,57.7,120010,30.95,54.32,88.38,64370,112980,183820
A1,2,Financial Managers,4390,2.6,60.39,125600,32.76,54.36,90,68150,113060,90
A1,2,Industrial Production Managers,2880,2.5,46.63,96990,29.32,44.56,69.06,60990,92680,143640
A1,2,Purchasing Managers,900,2.6,52.78,109780,32.32,52.87,72.83,67230,109970,151490
A1,2,"Transportation, Storage, and Distribution Managers",670,4.6,43.99,91500,26.29,41.16,65.53,54690,85620,136300
A1,2,Compensation and Benefits Managers,90,13,56.82,118180,33.03,53.17,86,68700,110600,178870
A1,2,Human Resources Managers,1250,4.3,47.92,99670,26.93,45.33,72.06,56020,94290,149880
A1,2,Training and Development Managers,160,7.4,55.46,115360,31.13,47.99,88.23,64750,99820,183520
A1,2,Construction Managers,2590,6.3,43.12,89680,25.98,39.2,64.86,54030,81530,134910
A1,2,"Education Administrators, Preschool and Childcare Center/Program",130,21.1,24.04,50000,9.23,19.48,44.18,19200,40520,91900
A1,2,"Education Administrators, Elementary and Secondary School",3500,5.2,*,79710,*,*,*,57480,80020,101720
A1,2,"Education Administrators, Postsecondary",2210,4,47.17,98110,25.02,40.4,79.84,52040,84020,166060
A1,2,"Education Administrators, All Other",510,4,42.8,89030,24.52,43.95,60.09,51000,91410,124990
A1,2,Architectural and Engineering Managers,2610,3.7,65.9,137070,42.39,62.39,90,88170,129770,90
A1,2,Food Service Managers,2160,7.1,29.74,61860,18.39,27.5,44.88,38260,57190,93340
A1,2,Funeral Service Managers,290,17.3,32.07,66700,20.6,30.66,47.01,42840,63760,97780
A1,2,Lodging Managers,510,12.7,23.26,48370,16.09,21.95,33.49,33460,45650,69660
A1,2,Medical and Health Services Managers,2610,2.9,47.62,99040,27.68,42.69,72.83,57570,88800,151480
A1,2,Natural Sciences Managers,190,8.9,53.07,110380,36.74,49.91,70.96,76420,103810,147590
A1,2,Postmasters and Mail Superintendents,280,0,35.13,73070,29.25,35.5,42.46,60840,73830,88310
A1,2,"Property, Real Estate, and Community Association Managers",450,9.1,35.14,73090,20.45,31.49,54.53,42540,65490,113420
A1,2,Social and Community Service Managers,1080,5.1,31.37,65240,17.97,28.56,48.53,37370,59410,100950
A1,2,Emergency Management Directors,190,2.7,32.78,68180,17.26,28.9,51.56,35900,60110,107250
A1,2,"Managers, All Other",2260,2.7,48.79,101480,24.26,47.57,73.35,50450,98950,152570
A1,2,Business and Financial Operations Occupations,69290,1.2,33.36,69390,17.02,30.26,51.66,35400,62940,107450
A1,2,"Buyers and Purchasing Agents, Farm Products",190,15.4,31.96,66470,19.77,29.71,51.87,41120,61790,107890
A1,2,"Wholesale and Retail Buyers, Except Farm Products",480,19.3,24.54,51030,13.29,22.44,37.86,27640,46670,78740
A1,2,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",5840,2.5,31.7,65930,16.99,30.12,47.97,35330,62650,99780
A1,2,"Claims Adjusters, Examiners, and Investigators",3630,5,28.61,59510,16.23,28.86,41.64,33750,60020,86600
A1,2,"Insurance Appraisers, Auto Damage",**,**,33.26,69190,24.38,33.36,45.12,50720,69380,93850
A1,2,Compliance Officers,1410,3.7,31.77,66070,18.02,30.05,47.1,37490,62500,97960
A1,2,Cost Estimators,2110,4.9,29.22,60790,16.85,27.91,44.25,35040,58060,92040
A1,2,Human Resources Specialists,5060,4.5,27.97,58170,16.03,26.56,43.29,33340,55250,90040
A1,2,Labor Relations Specialists,920,10.6,25.22,52470,7.99,24.4,49.54,16610,50760,103040
A1,2,Logisticians,3520,3.5,40.74,84730,25.54,40.79,55.14,53120,84840,114690
A1,2,Management Analysts,4380,4.3,43.76,91020,21.44,38.87,70.32,44590,80850,146270
A1,2,"Meeting, Convention, and Event Planners",460,23.6,23.52,48920,15,23.23,30.75,31210,48310,63960
A1,2,Fundraisers,660,7.8,23.53,48950,15.41,21.98,35.91,32050,45730,74690
A1,2,"Compensation, Benefits, and Job Analysis Specialists",570,5.3,28.21,58670,18.45,27.11,39.89,38370,56390,82960
A1,2,Training and Development Specialists,2770,4.6,27.53,57260,14.49,26.3,44.2,30140,54700,91940
