country,code,region,Y1960
North America,,North America,
Latin America & Caribbean,,Latin America & Caribbean,
Sub-Saharan Africa,,Sub-Saharan Africa,
East Asia & Pacific,,East Asia & Pacific,
Middle East & North Africa,,Middle East & North Africa,
Europe & Central Asia,,Europe & Central Asia,
South Asia,,South Asia,
Afghanistan,AFG,South Asia,8994793
Albania,ALB,Europe & Central Asia,1608800
Algeria,DZA,Middle East & North Africa,11124892
American Samoa,ASM,East Asia & Pacific,20012
Andorra,ADO,Europe & Central Asia,13414
Angola,AGO,Sub-Saharan Africa,5270844
Antigua and Barbuda,ATG,Latin America & Caribbean,54681
Argentina,ARG,Latin America & Caribbean,20619075
Armenia,ARM,Europe & Central Asia,1867396
Aruba,ABW,Latin America & Caribbean,54208
Australia,AUS,East Asia & Pacific,10276477
Austria,AUT,Europe & Central Asia,7047539
Azerbaijan,AZE,Europe & Central Asia,3897889
"Bahamas, The",BHS,Latin America & Caribbean,109526
Bahrain,BHR,Middle East & North Africa,162501
Bangladesh,BGD,South Asia,48200702
Barbados,BRB,Latin America & Caribbean,230934
Belarus,BLR,Europe & Central Asia,8198000
Belgium,BEL,Europe & Central Asia,9153489
Belize,BLZ,Latin America & Caribbean,92068
Benin,BEN,Sub-Saharan Africa,2431620
Bermuda,BMU,North America,44400
Bhutan,BTN,South Asia,224108
Bolivia,BOL,Latin America & Caribbean,3693451
Bosnia and Herzegovina,BIH,Europe & Central Asia,3214520
Botswana,BWA,Sub-Saharan Africa,524029
Brazil,BRA,Latin America & Caribbean,72493585
British Virgin Islands,VGB,Latin America & Caribbean,8036
Brunei Darussalam,BRN,East Asia & Pacific,81825
Bulgaria,BGR,Europe & Central Asia,7867374
Burkina Faso,BFA,Sub-Saharan Africa,4829291
Burundi,BDI,Sub-Saharan Africa,2786740
Cabo Verde,CPV,Sub-Saharan Africa,202316
Cambodia,KHM,East Asia & Pacific,5722370
Cameroon,CMR,Sub-Saharan Africa,5361367
Canada,CAN,North America,17909009
Cayman Islands,CYM,Latin America & Caribbean,7867
Central African Republic,CAF,Sub-Saharan Africa,1503501
Chad,TCD,Sub-Saharan Africa,3002596
Channel Islands,CHI,Europe & Central Asia,109419
Chile,CHL,Latin America & Caribbean,7695692
China,CHN,East Asia & Pacific,667070000
Colombia,COL,Latin America & Caribbean,16480384
Comoros,COM,Sub-Saharan Africa,188732
"Congo, Dem. Rep.",ZAR,Sub-Saharan Africa,15248246
"Congo, Rep.",COG,Sub-Saharan Africa,1013581
Costa Rica,CRI,Latin America & Caribbean,1333042
Cote d'Ivoire,CIV,Sub-Saharan Africa,3474724
Croatia,HRV,Europe & Central Asia,4140000
Cuba,CUB,Latin America & Caribbean,7141129
Curacao,CUW,Latin America & Caribbean,124826
Cyprus,CYP,Europe & Central Asia,572929
Czech Republic,CZE,Europe & Central Asia,9602006
Denmark,DNK,Europe & Central Asia,4579603
Djibouti,DJI,Middle East & North Africa,83636
Dominica,DMA,Latin America & Caribbean,60016
Dominican Republic,DOM,Latin America & Caribbean,3294039
Ecuador,ECU,Latin America & Caribbean,4545548
"Egypt, Arab Rep.",EGY,Middle East & North Africa,27072397
El Salvador,SLV,Latin America & Caribbean,2762897
Equatorial Guinea,GNQ,Sub-Saharan Africa,252115
Eritrea,ERI,Sub-Saharan Africa,1407631
Estonia,EST,Europe & Central Asia,1211537
Ethiopia,ETH,Sub-Saharan Africa,22151218
Faroe Islands,FRO,Europe & Central Asia,34266
Fiji,FJI,East Asia & Pacific,393383
Finland,FIN,Europe & Central Asia,4429634
France,FRA,Europe & Central Asia,46814237
French Polynesia,PYF,East Asia & Pacific,78083
Gabon,GAB,Sub-Saharan Africa,499189
"Gambia, The",GMB,Sub-Saharan Africa,367929
Georgia,GEO,Europe & Central Asia,3645600
Germany,DEU,Europe & Central Asia,72814900
